id,bibliographicCitation,occurrenceID,organismQuantity,organismQuantityType,eventDate,locality,minimumDepthInMeters,maximumDepthInMeters,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,footprintWKT,scientificNameID,scientificName,taxonRank
WA_seagrass_Leschenault_2009_sites.142-halophila,,WA_seagrass_Leschenault_2009_sites.142-halophila,20,percent coverage,31/03/2009,Leschenault,1,1,-33.30327703,115.699995,200,POINT (115.69999500000004 -33.3032770314509),urn:lsid:marinespecies.org:taxname:468368,Halophila sp.,genus
WA_seagrass_Leschenault_2009_sites.145-halophila,,WA_seagrass_Leschenault_2009_sites.145-halophila,40,percent coverage,31/03/2009,Leschenault,0,0,-33.30115503,115.697191,200,POINT (115.69719099999999 -33.30115503144785),urn:lsid:marinespecies.org:taxname:468368,Halophila sp.,genus
WA_seagrass_Leschenault_2009_sites.146-halophila,,WA_seagrass_Leschenault_2009_sites.146-halophila,40,percent coverage,31/03/2009,Leschenault,0,0,-33.30090103,115.697077,200,POINT (115.69707700000002 -33.30090103144743),urn:lsid:marinespecies.org:taxname:468368,Halophila sp.,genus
WA_seagrass_Leschenault_2009_sites.152-halophila,,WA_seagrass_Leschenault_2009_sites.152-halophila,50,percent coverage,31/03/2009,Leschenault,1,1,-33.29736603,115.691137,200,POINT (115.69113700000003 -33.2973660314423),urn:lsid:marinespecies.org:taxname:468368,Halophila sp.,genus
WA_seagrass_Leschenault_2009_sites.152-heterozost,,WA_seagrass_Leschenault_2009_sites.152-heterozost,10,percent coverage,31/03/2009,Leschenault,1,1,-33.29736603,115.691137,200,POINT (115.69113700000003 -33.2973660314423),urn:lsid:marinespecies.org:taxname:374710,Heterozostera sp.,Species
WA_seagrass_Leschenault_2009_sites.153-halophila,,WA_seagrass_Leschenault_2009_sites.153-halophila,50,percent coverage,31/03/2009,Leschenault,0,0,-33.29792803,115.690538,200,POINT (115.69053800000002 -33.29792803144311),urn:lsid:marinespecies.org:taxname:468368,Halophila sp.,genus
WA_seagrass_Leschenault_2009_sites.153-heterozost,,WA_seagrass_Leschenault_2009_sites.153-heterozost,10,percent coverage,31/03/2009,Leschenault,0,0,-33.29792803,115.690538,200,POINT (115.69053800000002 -33.29792803144311),urn:lsid:marinespecies.org:taxname:374710,Heterozostera sp.,Species
WA_seagrass_Leschenault_2009_sites.166-halophila,,WA_seagrass_Leschenault_2009_sites.166-halophila,60,percent coverage,31/03/2009,Leschenault,1,1,-33.27395203,115.692785,200,POINT (115.692785 -33.27395203140821),urn:lsid:marinespecies.org:taxname:468368,Halophila sp.,genus
WA_seagrass_Leschenault_2009_sites.167-halophila,,WA_seagrass_Leschenault_2009_sites.167-halophila,60,percent coverage,31/03/2009,Leschenault,0,0,-33.27462203,115.693022,200,POINT (115.69302199999997 -33.27462203140918),urn:lsid:marinespecies.org:taxname:468368,Halophila sp.,genus
WA_seagrass_Leschenault_2009_sites.175-halophila,,WA_seagrass_Leschenault_2009_sites.175-halophila,20,percent coverage,31/03/2009,Leschenault,1,1,-33.26492403,115.692802,200,POINT (115.69280200000001 -33.26492403139501),urn:lsid:marinespecies.org:taxname:468368,Halophila sp.,genus
WA_seagrass_Leschenault_2009_sites.175-heterozost,,WA_seagrass_Leschenault_2009_sites.175-heterozost,5,percent coverage,31/03/2009,Leschenault,1,1,-33.26492403,115.692802,200,POINT (115.69280200000001 -33.26492403139501),urn:lsid:marinespecies.org:taxname:374710,Heterozostera sp.,Species
WA_seagrass_Leschenault_2009_sites.176-halophila,,WA_seagrass_Leschenault_2009_sites.176-halophila,20,percent coverage,31/03/2009,Leschenault,0,0,-33.26517803,115.692862,200,POINT (115.692862 -33.26517803139539),urn:lsid:marinespecies.org:taxname:468368,Halophila sp.,genus
WA_seagrass_Leschenault_2009_sites.176-heterozost,,WA_seagrass_Leschenault_2009_sites.176-heterozost,5,percent coverage,31/03/2009,Leschenault,0,0,-33.26517803,115.692862,200,POINT (115.692862 -33.26517803139539),urn:lsid:marinespecies.org:taxname:374710,Heterozostera sp.,Species
WA_seagrass_Leschenault_2009_sites.183-halophila,,WA_seagrass_Leschenault_2009_sites.183-halophila,5,percent coverage,31/03/2009,Leschenault,1,1,-33.25902603,115.692804,200,POINT (115.69280400000004 -33.25902603138645),urn:lsid:marinespecies.org:taxname:468368,Halophila sp.,genus
